File name	Taxid	Organism	Proteome Size	Swissprot	Trembl	No gene names	Identical Genenames	Fragments (Annotated)	% Fragments (Annotated)	First Quartile	Small proteins (<100)	No start codons proteins	Total (BUSCO)	Fragment (BUSCO)	Missing (BUSCO)	Conserved HOGs (OMArk)	% Single (OMArk)	% Duplicated (OMArk)	% Missing (OMArk)	Consistent total (OMArk)	Consistent partial (OMArk)	Consistent fragmented (OMArk)	Inconsistent total (OMArk)	Contaminants total (OMArk)	Unknown total (OMArk)	Used clade (OMArk)	Detected clade (OMArk)
julidae-sp-jj-2019_galba_proteins.fasta	None	None	39129	0	0	39129	0	0	0.0	170.0	8.663651000536687	35.00728360039868	88.2	8.7	3.2	4014	74.44	19.16	6.40	48.04	14.40	9.11	10.20	29.44	12.32	Mandibulata	Panarthropoda
julus-scandinavius_galba_proteins.fasta	None	None	17148	0	0	17148	0	0	0.0	120.0	17.658035922556568	44.43666899930021	73.4	8.0	18.6	4014	68.24	11.41	20.35	65.56	22.33	14.00	13.24	0.00	21.20	Mandibulata	Panarthropoda
julus-scanicus_galba_proteins.fasta	None	None	16307	0	0	16307	0	0	0.0	131.0	15.067149077083462	42.754645244373584	75.1	5.0	19.8	4014	70.88	8.35	20.78	66.05	22.08	12.11	12.22	0.00	21.73	Mandibulata	Arachnida
kryphioiulus-occultus_galba_proteins.fasta	None	None	14507	0	0	14507	0	0	0.0	140.0	14.179361687461226	43.23430068242917	71.2	8.3	20.5	4014	70.43	10.09	19.48	70.27	22.44	13.42	12.63	0.00	17.10	Mandibulata	Panarthropoda
lithobius-niger_galba_proteins.fasta	None	None	67664	0	0	67664	0	0	0.0	136.0	12.696559470323953	50.10049657129345	67.3	23.2	9.5	4014	57.95	35.92	6.13	50.94	22.40	13.22	14.73	1.04	33.29	Mandibulata	Strigamia maritima
lithobius-variegatus-1_galba_proteins.fasta	None	None	63610	0	0	63610	0	0	0.0	182.0	5.481842477597862	33.87360477912278	95.6	2.2	2.3	4014	86.90	6.00	7.10	52.48	22.75	4.63	14.20	0.00	33.32	Mandibulata	Panarthropoda
megaphyllum-sjaelandicum_galba_proteins.fasta	None	None	19647	0	0	19647	0	0	0.0	121.0	17.722807553316027	47.24894385911335	73.9	10.9	15.2	4014	72.25	12.66	15.10	65.27	22.72	13.48	14.00	0.00	20.74	Mandibulata	Panarthropoda
nanogona-polydesmoides-1_galba_proteins.fasta	None	None	16147	0	0	16147	0	0	0.0	230.0	4.242274106645198	31.275159472347806	96.7	1.3	2.0	4014	86.92	4.83	8.25	69.94	17.80	4.71	12.55	2.21	15.29	Mandibulata	Panarthropoda
ommatoiulus-sabulosus_galba_proteins.fasta	None	None	19570	0	0	19570	0	0	0.0	124.0	16.745017884517118	47.32243229432805	72.9	11.0	16.2	4014	71.08	14.23	14.70	65.83	22.81	14.51	13.29	0.00	20.88	Mandibulata	Panarthropoda
pachymerium-ferrugineum_galba_proteins.fasta	None	None	15819	0	0	15819	0	0	0.0	170.0	9.709842594348569	24.868828623806813	81.9	3.5	14.6	4014	72.30	8.00	19.71	65.83	17.00	7.78	10.31	0.00	23.86	Mandibulata	Strigamia maritima
platydesmidae-sp-jhpl-2020_galba_proteins.fasta	None	None	43725	0	0	43725	0	0	0.0	183.0	6.238993710691824	36.24928530588908	92.7	5.1	2.2	4014	79.20	13.45	7.35	36.78	9.72	6.20	7.44	47.02	8.76	Mandibulata	Panarthropoda
polydesmus-complanatus_galba_proteins.fasta	None	None	14077	0	0	14077	0	0	0.0	164.0	13.596647012857852	31.519499893443204	83.8	3.1	13.1	4014	77.15	4.41	18.44	64.97	18.55	6.73	16.62	0.00	18.41	Mandibulata	Panarthropoda
proteroiulus-fuscus_galba_proteins.fasta	None	None	19815	0	0	19815	0	0	0.0	114.0	20.131213726974515	48.97300025233409	73.1	11.6	15.3	4014	71.20	15.47	13.33	65.89	22.10	17.78	13.43	0.00	20.68	Mandibulata	Panarthropoda
rhysida-immarginata_galba_proteins.fasta	None	None	71977	0	0	71977	0	0	0.0	132.0	11.914917265237506	39.23475554691082	86.4	9.0	4.6	4014	78.55	14.40	7.05	50.69	24.25	8.90	11.63	5.79	31.88	Mandibulata	Harpegnathos saltator
rossiulus-vilnensis_galba_proteins.fasta	None	None	13330	0	0	13330	0	0	0.0	157.0	10.81020255063766	41.312828207051766	74.3	5.6	20.0	4014	71.90	8.87	19.23	71.86	23.00	11.22	11.36	0.00	16.78	Mandibulata	Panarthropoda
scolopendra-cretica_galba_proteins.fasta	None	None	59356	0	0	59356	0	0	0.0	132.0	11.582653817642699	31.312756924321047	97.1	1.9	1.0	4014	88.04	5.08	6.88	53.65	25.86	7.77	18.73	0.00	27.61	Mandibulata	Panarthropoda
stenotaenia-linearis_galba_proteins.fasta	None	None	20665	0	0	20665	0	0	0.0	121.0	18.65956932010646	37.21267844180982	78.5	7.2	14.3	4014	65.62	16.32	18.06	63.90	16.08	15.32	13.37	0.00	22.73	Mandibulata	Strigamia maritima
strigamia-acuminata-1_galba_proteins.fasta	None	None	24949	0	0	24949	0	0	0.0	237.0	4.252675457934186	20.734297967854424	97.4	1.2	1.4	4014	79.50	8.94	11.56	71.17	14.83	4.29	8.13	0.00	20.69	Mandibulata	Strigamia maritima
strigamia-acuminata-3_galba_proteins.fasta	None	None	18517	0	0	18517	0	0	0.0	144.0	12.944861478641249	33.1479181292866	77.2	6.2	16.6	4014	63.60	15.20	21.20	67.46	15.79	15.03	10.26	0.00	22.29	Mandibulata	Strigamia maritima
strigamia-crassipes_galba_proteins.fasta	None	None	17703	0	0	17703	0	0	0.0	148.0	11.444387956843473	31.542676382534033	78.0	7.6	14.4	4014	65.45	13.83	20.73	68.73	16.36	14.32	8.80	0.00	22.47	Mandibulata	Strigamia maritima
strigamia-maritima_galba_proteins.fasta	None	None	24011	0	0	24011	0	0	0.0	153.0	9.982924492940736	17.283744950231146	96.3	1.8	1.9	4014	77.03	9.94	13.03	64.59	15.90	7.68	6.75	0.00	28.66	Mandibulata	Strigamia maritima
strigamia-transsilvanica_galba_proteins.fasta	None	None	17300	0	0	17300	0	0	0.0	145.0	12.3121387283237	32.14450867052023	71.0	5.7	23.3	4014	60.34	13.78	25.88	67.47	16.37	14.76	9.23	0.00	23.29	Mandibulata	Strigamia maritima
thereuonema-tuberculata_galba_proteins.fasta	None	None	61191	0	0	61191	0	0	0.0	120.0	15.520256246833684	41.30999656812276	83.7	12.0	4.2	4014	74.24	19.33	6.43	51.87	24.13	9.30	11.36	6.37	30.40	Mandibulata	Harpegnathos saltator
xestoiulus-laeticollis_galba_proteins.fasta	None	None	17673	0	0	17673	0	0	0.0	118.0	19.204436145532732	45.89486787755333	76.9	7.3	15.8	4014	71.15	13.15	15.70	66.72	22.28	14.19	14.08	0.00	19.20	Mandibulata	Panarthropoda
